person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,431,1746,-43.559494,,,
unknown,432,1717,-52.283624,,,
unknown,433,1686,-62.133834,,,
unknown,434,1666,-71.379576,,,
unknown,435,1648,-79.458166,,,
unknown,436,1642,-86.318813,,,
unknown,437,1646,-91.133871,,,
unknown,438,1654,-93.480602,,,
unknown,439,1671,-92.803316,,,
unknown,440,1697,-89.584015,,,
unknown,441,1723,-83.398635,,,
unknown,442,1749,-75.715610,,,
unknown,443,1776,-66.553982,,,
unknown,444,1797,-56.460603,,,
unknown,445,1815,-45.895356,,,
unknown,446,1829,-36.503888,,,
unknown,447,1833,-28.872272,,,
unknown,448,1827,-22.835998,,,
unknown,449,1811,-19.195534,,,
unknown,450,1791,-17.818586,,,
unknown,451,1760,-19.128844,,,
unknown,452,1733,-22.741581,,,
unknown,453,1703,-28.858523,,,
unknown,454,1680,-35.991277,,,
unknown,455,1663,-44.013175,,,
unknown,456,1655,-52.511935,,,
unknown,457,1659,-60.964312,,,
unknown,458,1674,-68.386568,,,
unknown,459,1686,-74.257452,,,
unknown,460,1709,-78.358640,,,
unknown,461,1730,-80.070131,,,
unknown,462,1753,-80.071226,,,
unknown,463,1776,-77.992970,,,
unknown,464,1793,-74.095899,,,
unknown,465,1808,-68.358587,,,
unknown,466,1813,-62.279147,,,
unknown,467,1819,-56.055734,,,
unknown,468,1811,-49.832867,,,
unknown,469,1795,-44.158026,,,
unknown,470,1775,-39.803239,,,
unknown,471,1745,-37.209902,,,
unknown,472,1719,-36.397013,,,
unknown,473,1689,-37.860190,,,
unknown,474,1664,-40.636694,,,
unknown,475,1649,-44.935735,,,
unknown,476,1646,-50.554660,,,
unknown,477,1648,-57.344453,,,
unknown,478,1662,-63.722438,,,
unknown,479,1677,-69.393450,,,
unknown,480,1698,-74.531897,,,
unknown,481,1724,-78.536220,,,
unknown,482,1747,-81.113905,,,
unknown,483,1774,-81.927140,,,
unknown,484,1792,-81.063961,,,
unknown,485,1807,-78.230971,,,
